ua,tc,amt,amt_avg,cc,dwm,lzd
0x0e6328ca519871bf7cdee7f1d0c0fa9a877190bb,135,0.2,0.0014814814814814816,1 / 10 / 2,2 / 2 / 1,117
0xe6fd847a271c753ae73173dfb3cf11c0cfb4781c,115,0.71,0.0061739130434782605,5 / 20 / 9,10 / 4 / 3,79
0xaec05a3ff8684803d6349faeb4d4eb2d551ca7f1,143,0.0,0.0,2 / 2 / 2,39 / 14 / 4,241
0x6ce3ebef3d87f8f58bcd0808cbc9d99a5ebef57d,215,0.0,0.0,1 / 1 / 1,42 / 14 / 5,540
0xf1d34dc2c720673d1971d1df532b28b3a9ac911b,127,0.03,0.00023622047244094488,4 / 15 / 6,16 / 15 / 12,340
0x4df829ea5583757356a60cebf6f071a9fef665d6,104,0.47,0.004519230769230769,3 / 17 / 6,9 / 6 / 4,141
0xaf10988c04645c08a4dbdd982db3edfbadcc4cf6,101,0.11,0.0010891089108910892,3 / 8 / 6,19 / 5 / 3,93
0xa9beed3cb94cc4822ccf17753e844c33e457d4df,123,0.0,0.0,2 / 2 / 2,1 / 1 / 1,306
0xc4b46bb10e712430975eab1c741a2c4af7d77d7f,106,0.0,0.0,2 / 2 / 2,2 / 2 / 1,307
0xc5ea7545083c2e0747f903c84ec886c6c4a89924,112,0.4,0.0035714285714285718,3 / 3 / 3,9 / 9 / 5,344
0x4a751063f0493e006ab20459eee7ba7dcf56ed21,116,0.48,0.004137931034482759,7 / 23 / 20,20 / 16 / 10,295
0x3b53f332545fe9b9cd64ff48105880c6e600a7af,118,0.24,0.002033898305084746,1 / 6 / 1,17 / 10 / 3,76
0x14dd64f9dce382d279415b0ec1f0f5e85c37f66a,123,0.25,0.0020325203252032522,1 / 6 / 1,18 / 11 / 3,77
0x635d9a2e8416438ad75693a38e162613b51b9321,249,0.0,0.0,3 / 2 / 3,76 / 14 / 5,309
0x79271ef52c95e88d7624c9a90c8921a10eebdf26,114,0.36,0.003157894736842105,6 / 16 / 11,25 / 19 / 9,307
0x5f791a60ed37f1aeb70b257f79d130e8a081d401,101,0.44,0.004356435643564357,6 / 16 / 12,25 / 18 / 9,307
0xce0e6384d6309f33a04241e84c04a8f083397811,109,0.5,0.0045871559633027525,2 / 12 / 2,3 / 2 / 1,273
0x0794d1325f5c966fa9d8a565fe3fbe5000406e74,109,0.78,0.007155963302752294,4 / 14 / 4,11 / 9 / 6,272
0x6b863434085bf14fa335b7f1de711eba8588bc8b,109,0.8,0.007339449541284404,5 / 25 / 9,6 / 4 / 3,93
0xed2e4de041ad8020c6da7906071daeb3ac66c5ff,161,0.0,0.0,2 / 13 / 2,42 / 9 / 3,96
0x9eb2d5311edbafd2137b9292d5683c35bf301cc8,118,0.0,0.0,3 / 3 / 5,56 / 28 / 8,273
0xfc7b0ed65972cb3c9604be4d3017bbb51e0abe75,106,0.29,0.0027358490566037736,6 / 8 / 10,6 / 4 / 4,71
0x1cb984818380815f6d211006f1816135efceac9f,128,0.1,0.00078125,5 / 7 / 9,8 / 5 / 4,329
0xa667ddb5deb8ddddc09cc7bf62bb4756420c7419,154,0.24,0.0015584415584415584,1 / 10 / 2,1 / 1 / 1,122
0x2ff1857c874665c1dbf928da17b6dc8be0154f61,102,0.02,0.000196078431372549,5 / 9 / 9,42 / 23 / 11,318
0x17950e13e296194fa000b8c9ad1ccabc4dc52c8e,102,0.02,0.000196078431372549,5 / 9 / 9,42 / 23 / 11,318
0x90fa44faae084ef3d2af6fd487836c36ab6402a5,358,0.0,0.0,7 / 14 / 6,1 / 1 / 1,604
0xed6c6dcd925874dc73516f790014168dff1ffc68,113,0.0,0.0,2 / 3 / 13,25 / 15 / 6,715
0xed5be31e673452bff16d18cb7215d90acca83d3e,116,0.36,0.003103448275862069,7 / 24 / 20,21 / 18 / 11,301
